id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
6962136,https://www.boattrader.com/listing/1990-catalina-mkiii-103491532/,sail,sail-cutter,Catalina,MKIII,1990,used,30,10.83,,2019-01-19T04:14:18.000Z,fiberglass,diesel,0,,,,,27000,30041,Punta Gorda,US,FL,33950
7019344,https://www.boattrader.com/listing/1998-saga-43-103530800/,sail,sail-cruiser,Saga,43,1998,used,43.25,12,19842,2019-03-15T17:05:43.000Z,fiberglass,diesel,1,51,1998,1998,inboard,179500,47033,Seattle,US,WA,98109
7097468,https://www.boattrader.com/listing/1988-catalina-34-103590790/,sail,sail-cruiser,Catalina,34,1988,used,34,11.75,,2019-05-29T17:21:41.000Z,fiberglass,diesel,1,25,1988,1988,inboard,39500,59400,Olympia,US,WA,98501
6349132,https://www.boattrader.com/listing/2012-sea-ray-355-sundancer-103138797/,power,power-cruiser,Sea Ray,355 Sundancer,2012,used,35,,,2017-08-27T08:00:03.000Z,fiberglass,other,1,0,,,inboard,205000,146954,Harrison Township,US,MI,48045
7106186,https://www.boattrader.com/listing/1991-commercial-passenger-airboat-103597374/,power,power-commercial,Commercial,Passenger Airboat,1991,used,49,18,18000,2019-06-07T08:25:03.000Z,fiberglass,gasoline,1,350,,,other,40000,10876,Myakka City,US,FL,34241
7117091,https://www.boattrader.com/listing/2019-manitou-25-oasis-103603481/,power,power-pontoon,Manitou,25 Oasis,2019,new,26.33,8.5,3420,2019-06-16T08:27:04.000Z,aluminum,gasoline,1,150,2019,2019,outboard,,5253,Tafton,US,PA,18464
7117183,https://www.boattrader.com/listing/2016-manitou-encore-25-103603548/,power,power-pontoon,Manitou,Encore 25,2016,used,25,8.5,,2019-06-16T13:44:29.000Z,aluminum,gasoline,0,,,,,55900,34413,Fontana,US,WI,53125
3839756,https://www.boattrader.com/listing/1991-cruisers-yachts-3380-express-102926021/,power,power-cruiser,Cruisers Yachts,3380 Express,1991,used,33,11.83,,2012-01-30T11:53:35.000Z,fiberglass,gasoline,2,0,,,inboard,19900,5169,Sodus Point,US,NY,14555
7113285,https://www.boattrader.com/listing/2000-cruisers-yachts-3750-motor-yacht-103602368/,power,power-motor,Cruisers Yachts,3750 Motor Yacht,2000,used,38,13.67,19400,2019-06-14T07:17:21.000Z,fiberglass,gasoline,2,1480,,,inboard,79950,44139,Lindenhurst,US,NY,11757
4921445,https://www.boattrader.com/listing/2006-grady-white-330-express-102423660/,power,power-walk,Grady-White,330 Express,2006,used,33,,,2015-01-21T15:10:01.000Z,fiberglass,gasoline,0,,,,,135000,18223,Ocean City,US,MD,21842
7117428,https://www.boattrader.com/listing/2019-tahoe-2150-cc-103603699/,power,power-center,Tahoe,2150 CC,2019,new,21.08,8.5,2600,2019-06-17T06:17:44.000Z,fiberglass,gasoline,1,150,,,outboard,38340,66233,Prince Frederick,US,MD,20678
7117430,https://www.boattrader.com/listing/2019-tracker-pro-guide-v-175-combo-103603701/,power,power-aluminum,Tracker,Pro Guide V-175 Combo,2019,new,17.58,8.08,1525,2019-06-17T06:17:45.000Z,aluminum,,1,115,,,outboard,27770,1091,Morganton,US,NC,28680
7117437,https://www.boattrader.com/listing/2019-tracker-panfish-16-103603668/,power,power-fresh,Tracker,Panfish 16,2019,new,16.17,5.83,766,2019-06-17T06:17:47.000Z,aluminum,gasoline,1,40,,,outboard,15980,1239,Garland,US,TX,75043
7117447,https://www.boattrader.com/listing/2019-sun-tracker-bass-buggy-18-dlx-103603682/,power,power-pontoon,Sun Tracker,Bass Buggy 18 DLX,2019,new,20,8.17,1420,2019-06-17T06:17:49.000Z,aluminum,,1,60,,,outboard,21815,1205,Harrison,US,TN,37341
7117459,https://www.boattrader.com/listing/2019-tracker-pro-team-175-txw-103603646/,power,power-bass,Tracker,Pro Team 175 TXW,2019,new,17.58,7.42,1050,2019-06-17T06:17:51.000Z,aluminum,,1,75,,,outboard-4s,20845,54055,Tacoma,US,WA,98408
7117466,https://www.boattrader.com/listing/2019-sun-tracker-party-barge-18-dlx-103603671/,power,power-pontoon,Sun Tracker,Party Barge 18 DLX,2019,new,20,8.17,1495,2019-06-17T06:17:52.000Z,aluminum,,1,40,,,outboard,19595,155599,Owatonna,US,MN,55060
7117463,https://www.boattrader.com/listing/2019-sun-tracker-bass-buggy-16-dlx-103603652/,power,power-pontoon,Sun Tracker,Bass Buggy 16 DLX,2019,new,16,7.08,1175,2019-06-17T06:17:52.000Z,aluminum,,1,40,,,outboard,19195,1209,Broken Arrow,US,OK,74012
