id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,city,country,state,zip
6966658,https://www.boattrader.com/listing/2019-pathfinder-2300-hps-103494000/,power,power-center,Pathfinder,2300 HPS,2019,new,23.5,8.33,3075,2019-01-23T14:04:52.000Z,fiberglass,gasoline,1,0,,,outboard,North Miami,US,FL,33168
6966667,https://www.boattrader.com/listing/2019-pathfinder-2400-trs-103494017/,power,power-center,Pathfinder,2400 TRS,2019,new,23.91,8.33,3075,2019-01-23T14:11:07.000Z,fiberglass,gasoline,1,0,,,outboard,North Miami,US,FL,33168
6705498,https://www.boattrader.com/listing/2019-pathfinder-2500-hybrid-103313697/,power,power-center,Pathfinder,2500 Hybrid,2019,new,24.75,8.5,3500,2018-05-08T08:24:46.000Z,fiberglass,gasoline,0,,,,,North Miami,US,FL,33168
6286807,https://www.boattrader.com/listing/2019-pathfinder-2600-hps-103494025/,power,power-center,Pathfinder,2600 HPS,2019,new,26.16,8.83,3350,2017-06-30T14:19:43.000Z,fiberglass,gasoline,1,0,,,outboard,North Miami,US,FL,33168
6720420,https://www.boattrader.com/listing/2019-pathfinder-2600-trs-103324324/,power,power-center,Pathfinder,2600 TRS,2019,new,26.16,8.83,,2018-05-22T12:33:00.000Z,fiberglass,gasoline,1,0,,,outboard,North Miami,US,FL,33168
6862545,https://www.boattrader.com/listing/2018-ranger-521-103426997/,power,power-bass,Ranger,521,2018,new,21,97,,2018-10-02T14:23:22.000Z,fiberglass,gasoline,0,,,,,Glendale,US,AZ,85305
6894685,https://www.boattrader.com/listing/2015-sealegs-7-7-103449011/,power,power-inflatable,Sealegs,7.7,2015,used,25.36,8.75,3241,2018-10-30T11:29:44.000Z,aluminum,gasoline,0,,,,,Stateline,US,NV,89449
6560920,https://www.boattrader.com/listing/1999-nor-tech-5000v-103211570/,power,power-highperf,Nor-Tech,5000V,1999,used,50,,,2017-12-14T16:03:49.000Z,fiberglass,diesel,3,315,,,,Fort Lauderdale,US,FL,33312
6967152,https://www.boattrader.com/listing/2019-crest--i-220-slrc-103494308/,power,power-pontoon,Crest,I 220 SLRC,2019,new,22,8.5,,2019-01-24T08:15:27.000Z,aluminum,gasoline,1,150,,,outboard,Marshall,US,TX,75672
6967161,https://www.boattrader.com/listing/2019-crest--i-220-slrc-103494309/,power,power-pontoon,Crest,I 220 SLRC,2019,new,22,8.5,,2019-01-24T08:21:19.000Z,aluminum,gasoline,1,150,,,outboard,Marshall,US,TX,75672
6967163,https://www.boattrader.com/listing/2019-crest-i-220-slc-103494313/,power,power-pontoon,Crest,I 220 SLC,2019,new,22,8.5,,2019-01-24T08:22:56.000Z,aluminum,gasoline,1,150,,,outboard,Marshall,US,TX,75672
6238167,https://www.boattrader.com/listing/2014-coeur-custom-270-103059625/,power,power-other,Coeur Custom,270,2014,used,27,,,2017-05-16T15:17:40.000Z,wood,,0,,,,,"Coeur d'Alene",US,ID,83814
6966618,https://www.boattrader.com/listing/2019-crest-i-fish-200-sf-103493976/,power,power-pontoon,Crest,I Fish 200 SF,2019,new,20,8.5,2302,2019-01-23T13:46:43.000Z,aluminum,gasoline,1,60,,,outboard-4s,Marshall,US,TX,75672
