id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state
7246163,https://www.boattrader.com/listing/1996-navigator-4200-classic-103697506/,power,power-pilot,Navigator,4200 CLASSIC,1996,used,42,15,,2019-10-10T04:02:19.000Z,fiberglass,diesel,2,0,,,,199000,Pewaukee,US,WI
7189649,https://www.boattrader.com/listing/2020-mastercraft-xt-22-103655357/,power,power-skiwake,Mastercraft,XT-22,2020,new,22,8.5,,2019-08-21T04:02:15.000Z,fiberglass,other,1,0,,,,133368,Pewaukee,US,WI
7053701,https://www.boattrader.com/listing/1986-sea-ray-300-db-103556869/,power,power-motor,Sea Ray,300 DB,1986,used,30,,,2019-04-17T15:55:56.000Z,fiberglass,other,2,0,,,,15500,Pewaukee,US,WI
7052903,https://www.boattrader.com/listing/2018-alumacraft-voyageur-175-103556263/,power,power-aluminum,Alumacraft,Voyageur 175,2018,new,17,,,2019-04-17T15:17:18.000Z,aluminum,other,1,0,,,,21259,Volo,US,IL
7176218,https://www.boattrader.com/listing/2020-scarab-255id-impulse-103646146/,power,power-bowrider,Scarab,255ID/Impulse,2020,new,25,8.33,,2019-08-08T04:03:30.000Z,fiberglass,gasoline,2,0,,,,85993,Volo,US,IL
7052888,https://www.boattrader.com/listing/2013-south-bay-522-cr-103556235/,power,power-pontoon,South Bay,522 CR,2013,used,22,8.5,,2019-04-17T15:16:02.000Z,fiberglass,other,1,0,,,,26995,Antioch,US,IL
7052981,https://www.boattrader.com/listing/1995-sea-ray-250-sundancer-103556351/,power,power-expresscruiser,Sea Ray,250 Sundancer,1995,used,25,,,2019-04-17T15:17:20.000Z,fiberglass,other,1,0,,,,13995,Volo,US,IL
7053119,https://www.boattrader.com/listing/2018-four-winns-355v-103556328/,power,power-expresscruiser,Four Winns,355V,2018,new,35,11.5,,2019-04-17T15:20:14.000Z,fiberglass,other,2,0,,,,229741,Harrison Township,US,MI
7046297,https://www.boattrader.com/listing/2019-barletta-l-23qc-103550866/,power,power-pontoon,Barletta,L 23QC,2019,new,23,8.6,,2019-04-11T11:11:22.000Z,fiberglass,other,1,0,,,,59521,Bay City,US,MI
7177448,https://www.boattrader.com/listing/2003-sea-fox-185-dc-103647033/,power,power-dualconsole,Sea Fox,185 Dc,2003,used,18,8.58,,2019-08-09T04:04:29.000Z,fiberglass,other,1,0,,,,8999,Pewaukee,US,WI
7052834,https://www.boattrader.com/listing/2019-glastron-bowrider-gt-205-103556159/,power,power-bowrider,Glastron,Bowrider GT 205,2019,new,20,8,,2019-04-17T15:16:00.000Z,fiberglass,other,1,0,,,,43264,Antioch,US,IL
7146164,https://www.boattrader.com/listing/2020-four-winns-210-horizon-103623622/,power,power-bowrider,Four Winns,210 Horizon,2020,new,21,8.42,,2019-07-12T13:14:35.000Z,fiberglass,gasoline,1,0,,,inboard-outboard,57227,Waterford,US,MI
7053800,https://www.boattrader.com/listing/1996-sea-ray-290-sundancer-103557036/,power,power-expresscruiser,Sea Ray,290 Sundancer,1996,used,29,,,2019-04-17T15:57:01.000Z,fiberglass,other,1,0,,,,29999,Sturgeon Bay,US,WI
7053587,https://www.boattrader.com/listing/2019-barletta-l-21q-103556827/,power,power-pontoon,Barletta,L 21Q,2019,new,21,9,,2019-04-17T15:55:53.000Z,fiberglass,other,1,0,,,,65707,Pewaukee,US,WI
7187954,https://www.boattrader.com/listing/2019-mastercraft-xt-series-xt20-103654411/,power,power-skiwake,Mastercraft,XT Series XT20,2019,new,20,8.17,,2019-08-20T04:03:38.000Z,fiberglass,other,1,0,,,,104871,Antioch,US,IL
7233371,https://www.boattrader.com/listing/2012-berkshire-233lxltd-103687248/,power,power-pontoon,Berkshire,233LXLTD,2012,used,23,,,2019-09-28T04:02:22.000Z,aluminum,other,1,0,,,,22995,Sturgeon Bay,US,WI
7244705,https://www.boattrader.com/listing/2002-malibu-sunscape21lsv-103696523/,power,power-other,Malibu,SUNSCAPE21LSV,2002,used,21,,,2019-10-09T04:01:47.000Z,fiberglass,other,1,0,,,,22995,Antioch,US,IL
7053677,https://www.boattrader.com/listing/1999-glastron-gs185sf-103556896/,power,power-sportcruiser,Glastron,GS185SF,1999,used,18,,,2019-04-17T15:55:55.000Z,fiberglass,other,1,0,,,,5995,Pewaukee,US,WI
7219394,https://www.boattrader.com/listing/1995-sea-ray-330-sundancer-103677665/,power,power-expresscruiser,Sea Ray,330 Sundancer,1995,used,33,,,2019-09-16T04:06:29.000Z,fiberglass,gasoline,2,0,,,inboard-outboard,48500,Sturgeon Bay,US,WI
7046309,https://www.boattrader.com/listing/2019-barletta-l-23qc-103550886/,power,power-pontoon,Barletta,L 23QC,2019,new,23,8.6,,2019-04-11T11:11:22.000Z,fiberglass,other,1,0,,,,82479,Waterford,US,MI
7192640,https://www.boattrader.com/listing/1999-sea-ray-290-sundancer-103657354/,power,power-expresscruiser,Sea Ray,290 Sundancer,1999,used,29,,,2019-08-23T04:02:09.000Z,fiberglass,other,2,0,,,,34500,Winthrop Harbor,US,IL
7091523,https://www.boattrader.com/listing/2019-starcraft-ex-20-c-103586481/,power,power-pontoon,Starcraft,EX 20 C,2019,new,20,8.5,,2019-05-22T17:10:29.000Z,fiberglass,other,1,0,,,,21491,Pewaukee,US,WI
7052972,https://www.boattrader.com/listing/1973-lund-16-103556324/,power,power-aluminum,Lund,16,1973,used,16,,,2019-04-17T15:17:20.000Z,aluminum,other,1,0,,,,1995,Volo,US,IL
7118274,https://www.boattrader.com/listing/2019-yamaha-boats-242-limited-s-103604391/,power,power-bowrider,Yamaha Boats,242 Limited S,2019,new,24,9,,2019-06-17T14:16:50.000Z,fiberglass,other,2,0,,,,63465,Pewaukee,US,WI
7086851,https://www.boattrader.com/listing/2019-starcraft-ex-20-c-103582960/,power,power-pontoon,Starcraft,EX 20 C,2019,new,20,8.5,,2019-05-17T15:43:38.000Z,fiberglass,other,1,0,,,,21891,Bay City,US,MI
7091513,https://www.boattrader.com/listing/2019-barletta-l-21qc-103586465/,power,power-pontoon,Barletta,L 21QC,2019,new,21,9,,2019-05-22T17:10:26.000Z,fiberglass,other,1,0,,,,61650,Pewaukee,US,WI
7187945,https://www.boattrader.com/listing/2019-mastercraft-nxt-series-nxt22-103654415/,power,power-skiwake,Mastercraft,NXT Series NXT22,2019,new,22,8.17,,2019-08-20T04:03:27.000Z,fiberglass,other,1,0,,,,86217,Volo,US,IL
7123562,https://www.boattrader.com/listing/1984-chris-craft-catalina-381-103608212/,power,power-aft,Chris-Craft,Catalina 381,1984,used,38,14,,2019-06-21T11:36:06.000Z,fiberglass,gasoline,2,0,,,inboard,41000,Pewaukee,US,WI
7118345,https://www.boattrader.com/listing/2005-formula-292-fastech-103604484/,power,power-highperf,Formula,292 FASTech,2005,used,29,8.25,,2019-06-17T14:19:56.000Z,fiberglass,gasoline,1,0,,,inboard-outboard,59900,Winthrop Harbor,US,IL
7052750,https://www.boattrader.com/listing/2007-azimut-62-flybridge-103556105/,power,power-flybridge,Azimut,62 Flybridge,2007,used,62,,,2019-04-17T15:14:03.000Z,fiberglass,other,2,0,,,,599900,Winthrop Harbor,US,IL
7250552,https://www.boattrader.com/listing/2008-sea-ray-280-sundancer-103700525/,power,power-bowrider,Sea Ray,280 Sundancer,2008,used,31,9.42,,2019-10-15T04:01:59.000Z,fiberglass,other,2,0,,,,69900,Winthrop Harbor,US,IL
7204307,https://www.boattrader.com/listing/1999-tiara-4000-express-103667223/,power,power-expresscruiser,Tiara,4000 Express,1999,used,40,,,2019-09-04T04:02:50.000Z,fiberglass,diesel,2,0,,,inboard,189900,Harrison Township,US,MI
7053845,https://www.boattrader.com/listing/2018-scout-lxf-380-lxf-103557062/,power,power-center,Scout,LXF 380 LXF,2018,new,38,13.12,,2019-04-17T16:03:06.000Z,fiberglass,other,3,0,,,,767770,Sturgeon Bay,US,WI
