id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
7065966,https://www.boattrader.com/listing/1980-donzi-21-gt-103565873/,power,power-antique,Donzi,21 GT,1980,used,21,,,2019-04-29T09:00:05.000Z,fiberglass,gasoline,1,0,,,inboard,30000,235362,Little River,US,SC,29566
7035409,https://www.boattrader.com/listing/2010-correct-craft-superair-230-103542758/,power,power-skiwake,Correct Craft,SuperAir 230,2010,used,23,,,2019-04-01T09:35:14.000Z,fiberglass,,0,,,,,54000,230014,Durham,US,NC,27703
7220069,https://www.boattrader.com/listing/1981-penn-yan-sportfish-103678092/,power,power-flybridge,Penn Yan,Sportfish,1981,used,33.8,12,,2019-09-16T13:31:13.000Z,fiberglass,other,1,640,,,inboard,17500,263324,palm harbor,US,FL,34684
7172142,https://www.boattrader.com/listing/1992-trophy-2002-walkaround-103642262/,power,power-cuddy,Trophy,2002 Walkaround,1992,used,20.1,8,,2019-08-05T14:50:06.000Z,fiberglass,gasoline,1,150,,,outboard,6000,255033,"Goose Pond Colony, Scottsborro",US,AL,35769
7219998,https://www.boattrader.com/listing/1993-custom-tournament-v17-103678053/,power,power-bass,Custom,Tournament v17,1993,used,17,,,2019-09-16T12:40:24.000Z,aluminum,,0,,,,,6500,263308,LINDEN,US,PA,17744
6963414,https://www.boattrader.com/listing/2019-harris-cruiser-103491923/,power,power-pontoon,Harris,cruiser,2019,used,20,,,2019-01-21T10:20:03.000Z,aluminum,gasoline,1,50,,,outboard,21500,220414,Cincinnati,US,OH,45243
7250253,https://www.boattrader.com/listing/2017-duck-water-boats-duckwater-23-103700289/,power,power-center,Duck Water Boats,DuckWater 23,2017,used,23,9,,2019-10-14T14:31:17.000Z,aluminum,gasoline,1,150,,,outboard,33500,267405,Smithfield,US,VA,23430
7171566,https://www.boattrader.com/listing/2016-cutwater-30cb-103641700/,power,power-cruiser,Cutwater,30CB,2016,used,34,,,2019-08-05T12:26:13.000Z,fiberglass,,0,,,,,249000,255000,Vancouver,US,WA,98665
7260308,https://www.boattrader.com/listing/2018-grady-white-freedom-275-103707981/,power,power-dualconsole,Grady-White,Freedom 275,2018,used,27,8.5,4972,2019-10-23T12:54:56.000Z,fiberglass,gasoline,2,300,2018,2018,outboard-4s,159900,67460,Marco Island,US,FL,34145
7259529,https://www.boattrader.com/listing/2006-cruisers-yachts-520-express-103707392/,power,power-cruiser,Cruisers Yachts,520 Express,2006,used,52,15.5,42000,2019-10-23T02:45:17.000Z,fiberglass,diesel,2,1430,,,inboard,345000,21450,Salisbury,US,MD,21801
7096916,https://www.boattrader.com/listing/2018-sea-doo-gti-103590352/,power,power-pwc,Sea-Doo,GTI,2018,used,11,4,460,2019-05-29T08:40:10.000Z,other,gasoline,1,0,,,,9983,12744,Lake City,US,SC,29560
7009127,https://www.boattrader.com/listing/2017-g3-sportsman-19-103522731/,power,power-aluminum,G3,Sportsman 19,2017,used,19,7.67,1210,2019-03-07T11:30:39.000Z,aluminum,gasoline,1,150,,,outboard-4s,25987,12744,Lake City,US,SC,29560
6995514,https://www.boattrader.com/listing/2019-monterey-m-45-103513229/,power,power-deck,Monterey,M-45,2019,new,24,8.5,4500,2019-02-21T13:54:26.000Z,fiberglass,gasoline,1,250,,,outboard-4s,70690,12744,Lake City,US,SC,29560
7250537,https://www.boattrader.com/listing/2003-chaparral-180-ss-103710756/,power,power-runabout,Chaparral,180 SS,2003,used,18,7.17,2100,2019-10-15T03:35:54.000Z,fiberglass,gasoline,1,0,2003,2003,,7900,38423,Jupiter,US,FL,33477
6584924,https://www.boattrader.com/listing/2015-cruisers-sport-series-298-bow-rider-103228414/,power,power-bowrider,Cruisers Sport Series,298 Bow Rider,2015,used,29,8.5,6285,2018-01-17T06:52:01.000Z,fiberglass,gasoline,1,350,2018,2018,inboard-outboard,85000,38423,Miami,US,FL,33190
7167019,https://www.boattrader.com/listing/2020-sea-ray-spx-210-outboard-103698942/,power,power-other,Sea Ray,SPX 210 Outboard,2020,new,21,,,2019-08-01T08:49:58.000Z,fiberglass,gasoline,1,200,,,outboard,,44095,Brick,US,NJ,08724
