id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,country,state
7229010,https://www.boattrader.com/listing/2015-chaparral-18-h2o-103684258/,power,power-bowrider,Chaparral,18 H2O,2015,used,18.04,7.09,,2019-09-24T16:52:32.000Z,fiberglass,gasoline,1,0,,,,18995,45000,US,TX
7135292,https://www.boattrader.com/listing/2019-sun-tracker-party-barge-20-dlx-103616306/,power,power-pontoon,Sun Tracker,Party Barge 20 DLX,2019,new,21,9,,2019-07-02T11:23:11.000Z,aluminum,gasoline,1,0,,,outboard,26025,31870,US,OH
7204482,https://www.boattrader.com/listing/2019-yamaha-boats-fx-svho-103667303/,power,power-pwc,Yamaha Boats,FX SVHO,2019,new,11.67,,,2019-09-04T07:04:42.000Z,fiberglass,gasoline,1,0,,,,13980,31870,US,OH
7219017,https://www.boattrader.com/listing/2009-seaark-150-foremost-103677434/,power,power-aluminum,SeaArk,150 FOREMOST,2009,used,17,,,2019-09-14T17:17:49.000Z,aluminum,gasoline,1,0,,,outboard,6995,45004,US,TX
7204472,https://www.boattrader.com/listing/2019-yamaha-boats-vx-deluxe-103667325/,power,power-pwc,Yamaha Boats,VX Deluxe,2019,new,10.92,,,2019-09-04T07:04:40.000Z,fiberglass,gasoline,1,0,,,,9480,31870,US,OH
7206693,https://www.boattrader.com/listing/2018-crest-i-23-103668836/,power,power-pontoon,Crest,I 23,2018,used,22,,,2019-09-05T17:12:06.000Z,aluminum,gasoline,1,0,,,,29995,31870,US,OH
7203936,https://www.boattrader.com/listing/2004-chaparral-204-ssi-103666965/,power,power-bowrider,Chaparral,204 SSi,2004,used,19.6,8.4,,2019-09-03T14:50:42.000Z,fiberglass,gasoline,1,0,,,,15995,10106,US,TX
7203798,https://www.boattrader.com/listing/2015-cypress-cay-seabreez-210-103666849/,power,power-pontoon,Cypress Cay,SEABREEZ 210,2015,used,21,8.06,,2019-09-03T14:46:50.000Z,aluminum,gasoline,1,0,,,outboard,23995,45000,US,TX
7213476,https://www.boattrader.com/listing/2015-triton-18tx-103673477/,power,power-bass,Triton,18TX,2015,used,18.8,8.06,,2019-09-10T17:18:37.000Z,fiberglass,gasoline,1,0,,,outboard,19000,10106,US,TX
7204484,https://www.boattrader.com/listing/2006-bayliner-217-sundeck-103667297/,power,power-deck,Bayliner,217 Sundeck,2006,used,20,8.06,,2019-09-04T07:04:42.000Z,fiberglass,gasoline,1,0,,,outboard,20000,31870,US,OH
7208723,https://www.boattrader.com/listing/2013-monterey-184-fsx-103669892/,power,power-bowrider,Monterey,184 FSX,2013,used,18.6,7.06,,2019-09-07T09:15:23.000Z,fiberglass,gasoline,1,0,,,,19995,45000,US,TX
7233689,https://www.boattrader.com/listing/2012-bennington-22ssxi-103687432/,power,power-pontoon,Bennington,22SSXI,2012,used,19.4,8.06,,2019-09-28T08:51:31.000Z,aluminum,gasoline,1,0,,,outboard,19995,45004,US,TX
7263840,https://www.boattrader.com/listing/2020-yamaha-boats-ex-sport-103710392/,power,power-pwc,Yamaha Boats,EX Sport,2020,new,10.03,2,,2019-10-26T09:02:32.000Z,fiberglass,gasoline,1,0,,,,9480,31870,US,OH
7136111,https://www.boattrader.com/listing/2019-godfrey-sweetwater-2286-sfl-103617077/,power,power-pontoon,Godfrey,SWEETWATER 2286 SFL,2019,new,22.1,8.06,,2019-07-02T11:36:58.000Z,aluminum,gasoline,1,0,,,outboard,44980,31870,US,OH
7256297,https://www.boattrader.com/listing/2017-malibu-24-mxz-103704921/,power,power-skiwake,Malibu,24 MXZ,2017,used,24.05,8.06,,2019-10-19T09:14:22.000Z,fiberglass,gasoline,1,0,,,v-drive,119998,35234,US,AL
7263798,https://www.boattrader.com/listing/2019-concept-36-103710361/,power,power-center,Concept,36,2019,used,36,8,5200,2019-10-26T07:32:48.000Z,fiberglass,gasoline,2,800,2018,2018,outboard-4s,242000,39535,US,FL
