id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state,zip
7109186,https://www.boattrader.com/listing/2020-monterey-305ss-103599456/,power,power-cruiser,Monterey,305SS,2020,new,29,,,2019-06-10T16:57:47.000Z,fiberglass,other,1,0,,,,229249,Houston,US,TX,77586
6932210,https://www.boattrader.com/listing/2019-manitou-aurora-le-103470405/,power,power-pontoon,Manitou,Aurora LE,2019,new,23,,,2018-12-07T18:15:36.000Z,other,other,1,0,,,,37200,Johnson City,US,TN,37615
6886913,https://www.boattrader.com/listing/2003-crownline-230-br-103444213/,power,power-runabout,Crownline,230 BR,2003,used,23,,,2018-10-24T09:21:41.000Z,fiberglass,other,1,0,,,,22700,Osage Beach,US,MO,65065
7022447,https://www.boattrader.com/listing/2019-skeeter-fx20le-103532964/,power,power-bass,Skeeter,FX20LE,2019,new,20,,,2019-03-19T19:05:35.000Z,fiberglass,other,1,0,,,,67995,Southside,US,AL,35907
6900581,https://www.boattrader.com/listing/2018-swamp-shark-custom-103452777/,power,power-center,Swamp Shark,Custom,2018,new,24,,,2018-11-05T17:59:25.000Z,aluminum,other,1,0,,,,76995,Marrero,US,LA,70072
7166297,https://www.boattrader.com/listing/2019-monterey-224fs-103637731/,power,power-skiwake,Monterey,224FS,2019,new,22,,,2019-07-31T16:53:00.000Z,other,other,1,0,,,,44542,Milledgeville,US,GA,31061
6607148,https://www.boattrader.com/listing/2018-regal-26-fasdeck-103243263/,power,power-deck,Regal,26 FasDeck,2018,new,26,,,2018-02-07T15:41:23.000Z,fiberglass,other,1,0,,,,,Austin,US,TX,78735
7209236,https://www.boattrader.com/listing/2020-yamahaboats-190-fsh-sport-103670254/,power,power-unspec,YamahaBoats,190 FSH Sport,2020,new,19,,,2019-09-08T17:02:29.000Z,other,other,1,0,,,,38399,Naples,US,ME,04055
6680756,https://www.boattrader.com/listing/2018-starcraft-cx-23-re-103295743/,power,power-pontoon,Starcraft,CX 23 RE,2018,new,23,,,2018-04-14T03:10:00.000Z,aluminum,other,1,0,,,,47638,Springfield,US,IL,62712
7205366,https://www.boattrader.com/listing/2015-tracker-targa-18-combo-103667968/,power,power-skifish,Tracker,Targa 18 Combo,2015,used,18,,,2019-09-04T17:04:02.000Z,aluminum,other,1,0,,,,27995,Marrero,US,LA,70072
7172255,https://www.boattrader.com/listing/2019-sun-tracker-bass-buggy-18-dlx-103642344/,power,power-pontoon,Sun Tracker,Bass Buggy 18 DLX,2019,new,19,,,2019-08-05T15:54:32.000Z,aluminum,other,1,0,,,,22315,Brunswick,US,GA,31520
7135294,https://www.boattrader.com/listing/2019-sun-tracker-sportfish-22-dlx-103616259/,power,power-pontoon,Sun Tracker,SportFish 22 DLX,2019,new,24,9,,2019-07-02T11:23:11.000Z,aluminum,gasoline,1,0,,,outboard,26020,Russells Point,US,OH,43348
7045898,https://www.boattrader.com/listing/2019-mastercraft-xt21-103550360/,power,power-skiwake,Mastercraft,XT21,2019,new,21,98,,2019-04-11T06:34:16.000Z,fiberglass,other,1,0,,,,112506,Polk City,US,FL,33868
7203374,https://www.boattrader.com/listing/2019-bennington-27qxfba2-triple-10-wide-103666491/,power,power-pontoon,Bennington,27QXFBA2 TRIPLE 10 WIDE,2019,new,27,,,2019-09-03T11:05:32.000Z,other,other,1,0,,,,170267,Waterville,US,ME,04901
7045877,https://www.boattrader.com/listing/2019-mastercraft-nxt20-103550346/,power,power-skiwake,Mastercraft,NXT20,2019,new,20,91,,2019-04-11T06:34:01.000Z,fiberglass,other,1,0,,,,80346,Polk City,US,FL,33868
7194008,https://www.boattrader.com/listing/2019-g3-1544-lw-103658459/,power,power-jon,G3,1544 LW,2019,new,14,,,2019-08-23T16:49:46.000Z,other,other,1,0,,,,2213,Chepachet,US,RI,02814
7227644,https://www.boattrader.com/listing/2000-wellcraft-walkaround-24-103683426/,power,power-walk,Wellcraft,Walkaround 24,2000,used,24,,,2019-09-23T17:04:23.000Z,fiberglass,other,1,0,,,,19900,Greensboro,US,GA,30642
7164836,https://www.boattrader.com/listing/2008-other-208-cuddy-103636611/,power,power-other,Other,208 CUDDY,2008,used,20,,,2019-07-30T17:04:58.000Z,other,other,1,0,,,,16995,Palm Harbor,US,FL,34684
6880988,https://www.boattrader.com/listing/2019-mako-skiff-17-w-mercury-75elpt-4s-103440212/,power,power-bay,Mako,SKIFF 17 w/ Mercury 75ELPT 4S,2019,new,17,,,2018-10-18T18:00:06.000Z,other,other,1,0,,,,19725,Milledgeville,US,GA,31061
7238078,https://www.boattrader.com/listing/2020-crownline-335-ss-103692073/,power,power-bowrider,Crownline,335 SS,2020,new,33,,,2019-10-02T16:56:45.000Z,fiberglass,other,1,0,,,,,Osage Beach,US,MO,65065
7054901,https://www.boattrader.com/listing/2019-sea-fox-266-commander-103557868/,power,power-center,Sea Fox,266 Commander,2019,new,26,,,2019-04-18T13:23:20.000Z,fiberglass,other,1,0,,,,,Ocala,US,FL,34482
7128458,https://www.boattrader.com/listing/1989-catalina-25-103611350/,sail,sail-other,Catalina,25,1989,used,25,,,2019-06-25T16:53:52.000Z,fiberglass,other,1,0,,,,12000,Houston,US,TX,77586
7164722,https://www.boattrader.com/listing/2018-caravelle-boat-group-220bay-103636734/,power,power-fresh,Caravelle boat group,220BAY,2018,new,20,,,2019-07-30T17:04:43.000Z,other,other,1,0,,,,36990,West Coxsackie,US,NY,12192
7211294,https://www.boattrader.com/listing/2019-axis-a24-103670971/,power,power-skiwake,Axis,A24,2019,new,24,,,2019-09-09T13:27:07.000Z,other,other,1,0,,,,,Waterford,US,MI,48328
7247324,https://www.boattrader.com/listing/2003-reno-skiff-21--103698324/,power,power-center,Reno Skiff,21,2003,used,21,,,2019-10-10T17:15:08.000Z,other,other,1,0,,,,18995,Marrero,US,LA,70072
7172264,https://www.boattrader.com/listing/2019-tahoe-1950-103642350/,power,power-deck,Tahoe,1950,2019,new,19,,,2019-08-05T15:55:01.000Z,fiberglass,other,1,0,,,,37735,Brunswick,US,GA,31520
7166303,https://www.boattrader.com/listing/2007-carolina-skiff-258-103637677/,power,power-flats,Carolina Skiff,258,2007,new,25,,,2019-07-31T16:54:18.000Z,other,other,1,0,,,,,Marrero,US,LA,70072
7203938,https://www.boattrader.com/listing/2015-sea-doo-24-fc-103666963/,power,power-pwc,Sea-Doo,24 FC,2015,used,24,3.1,,2019-09-03T14:50:42.000Z,fiberglass,gasoline,1,0,,,,14995,Beaumont,US,TX,77702
7192439,https://www.boattrader.com/listing/2010-sea-ray-240-sundeck-103657282/,power,power-bowrider,Sea Ray,240 Sundeck,2010,used,24,8,,2019-08-22T17:24:57.000Z,fiberglass,gasoline,1,0,,,,36999,Lewisville,US,TX,75077
7122413,https://www.boattrader.com/listing/2019-nautique-gs24-103607227/,power,power-skiwake,Nautique,GS24,2019,new,24,,,2019-06-20T17:04:23.000Z,fiberglass,other,1,0,,,,,Elkhorn,US,WI,53121
7186304,https://www.boattrader.com/listing/2020-crownline-264-cr-103653386/,power,power-cruiser,Crownline,264 CR,2020,new,26,,,2019-08-17T16:54:24.000Z,fiberglass,other,1,0,,,,116900,Seattle,US,WA,98119
7043558,https://www.boattrader.com/listing/2019-sylvan-8522-dlz-le-tritoon-103548645/,power,power-pontoon,Sylvan,8522 DLZ LE Tritoon,2019,new,23,,,2019-04-09T09:41:49.000Z,aluminum,other,1,0,,,,42652,Bloomsburg,US,PA,17815
6826931,https://www.boattrader.com/listing/2015-aqua-patio-ap-240-cb-103400736/,power,power-pontoon,Aqua Patio,AP 240 CB,2015,used,25,,,2018-08-31T06:09:59.000Z,aluminum,other,1,0,,,,33500,Iowa City,US,IA,52240
7227590,https://www.boattrader.com/listing/2020-bentley-pontoons-bentley-220-fish-n-cruise-103683405/,power,power-pontoon,Bentley Pontoons,Bentley 220 Fish n Cruise,2020,new,22,,,2019-09-23T16:48:45.000Z,other,other,1,0,,,,33500,Philadelphia,US,PA,19136
7164890,https://www.boattrader.com/listing/2018-caravelle-boat-group-17ebo-103636638/,power,power-other,Caravelle boat group,17EBO,2018,new,16,,,2019-07-30T17:05:04.000Z,other,other,1,0,,,,23990,Ridgeland,US,SC,29936
7209233,https://www.boattrader.com/listing/2020-yamahaboats-210-fsh-sport-103670251/,power,power-unspec,YamahaBoats,210 FSH Sport,2020,new,21,,,2019-09-08T17:02:29.000Z,other,other,1,0,,,,50099,Naples,US,ME,04055
7018205,https://www.boattrader.com/listing/2019-falcon-f195-103530025/,power,power-bass,Falcon,F195,2019,new,19,,,2019-03-14T19:07:09.000Z,fiberglass,other,1,0,,,,45999,Southside,US,AL,35907
