id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,city,country,state,zip
7193759,https://www.boattrader.com/listing/2019-suncatcher-elite-series-103658115/,power,power-pontoon,SunCatcher,Elite Series,2019,new,26,,,2019-08-23T13:28:19.000Z,other,other,1,Kingston,US,OK,73439
7193772,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658123/,power,power-pontoon,SunCatcher,V Series,2020,new,24,,,2019-08-23T13:28:21.000Z,other,other,1,Kingston,US,OK,73439
7193765,https://www.boattrader.com/listing/2019-manitou-ses--103658127/,power,power-pontoon,Manitou,SES,2019,new,25,,,2019-08-23T13:28:20.000Z,other,other,1,Kingston,US,OK,73439
7067275,https://www.boattrader.com/listing/2019-alumacraft-classic-103566885/,power,power-fresh,Alumacraft,Classic,2019,used,16,82,,2019-04-30T10:04:09.000Z,other,other,1,Rochester,US,MN,55901
7202660,https://www.boattrader.com/listing/2019-suncatcher-v-series-103664678/,power,power-pontoon,SunCatcher,V Series,2019,new,22,,,2019-09-02T22:58:38.000Z,other,other,1,Kingston,US,OK,73439
7213645,https://www.boattrader.com/listing/2020-g3-sportsman-103673602/,power,power-fresh,G3,Sportsman,2020,new,16,,,2019-09-10T23:15:10.000Z,other,other,1,Kingston,US,OK,73439
7166420,https://www.boattrader.com/listing/1985-skiff-craft-x260-103637796/,power,power-cruiser,Skiff Craft,X260,1985,used,26,,,2019-07-31T23:34:59.000Z,other,other,1,Rochester,US,MN,55901
7067379,https://www.boattrader.com/listing/2019-bennington-23gsb-103567002/,power,power-pontoon,Bennington,23GSB,2019,used,26,102,,2019-04-30T10:06:10.000Z,other,other,1,Rochester,US,MN,55901
7195108,https://www.boattrader.com/listing/2020-aloha-paradise-series-103659264/,power,power-pontoon,Aloha,PARADISE SERIES,2020,new,26,,,2019-08-25T23:03:54.000Z,other,other,1,Kingston,US,OK,73439
7193802,https://www.boattrader.com/listing/2020-aloha-paradise-series-103658253/,power,power-pontoon,Aloha,PARADISE SERIES,2020,new,26,,,2019-08-23T13:28:26.000Z,other,other,1,Kingston,US,OK,73439
7193665,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658147/,power,power-pontoon,SunCatcher,V Series,2019,new,22,,,2019-08-23T13:28:06.000Z,other,other,1,Kingston,US,OK,73439
7193773,https://www.boattrader.com/listing/2020-suncatcher-x-series-103658122/,power,power-pontoon,SunCatcher,X Series,2020,new,22,,,2019-08-23T13:28:22.000Z,other,other,1,Kingston,US,OK,73439
7193657,https://www.boattrader.com/listing/2019-yamaha-boats-waverunner-ex-103658155/,power,power-pwc,Yamaha Boats,Waverunner EX,2019,new,10,,,2019-08-23T13:28:05.000Z,other,other,1,Kingston,US,OK,73439
