id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
7185604,https://www.boattrader.com/listing/2018-cobalt-cs22-103652840/,power,power-bowrider,Cobalt,CS22,2018,used,22.06,8.06,,2019-08-16T17:07:41.000Z,fiberglass,gasoline,1,0,,,,54998,47686,Dadeville,US,AL,36853
7264760,https://www.boattrader.com/listing/2020-pursuit-325-os-103710975/,power,power-saltfish,Pursuit,325 OS,2020,new,32,10.83,12430,2019-10-28T09:11:56.000Z,fiberglass,gasoline,2,600,2020,2020,outboard-4s,,5386,Mashpee,US,MA,02649
6850026,https://www.boattrader.com/listing/2019-azimut-atlantis-51-103473508/,power,power-mega,Azimut,Atlantis 51,2019,new,51,,,2018-09-20T11:31:35.000Z,fiberglass,diesel,2,1200,,,inboard,,62546,Boston,US,MA,02122
7246636,https://www.boattrader.com/listing/2008-sea-ray-230sd-103697856/,power,power-bowrider,Sea Ray,230SD,2008,used,23,8.06,,2019-10-10T08:54:58.000Z,fiberglass,gasoline,1,0,,,,31998,47686,Dadeville,US,AL,36853
7124444,https://www.boattrader.com/listing/2019-sun-tracker-bass-buggy-18-dlx-103608873/,power,power-pontoon,Sun Tracker,Bass Buggy 18 DLX,2019,new,20,8.17,1420,2019-06-22T08:48:36.000Z,aluminum,gasoline,1,60,,,outboard-4s,21515,100945,Lexington,US,NC,27295
7220544,https://www.boattrader.com/listing/2003-mainship-34-103696174/,power,power-downeast,Mainship,34,2003,used,34,12.25,16000,2019-09-17T07:27:26.000Z,fiberglass,diesel,2,480,2003,2003,inboard,115000,27000,Annapolis,US,MD,21403
7223258,https://www.boattrader.com/listing/1989-j-boats-34c-103686926/,sail,sail-racercruiser,J Boats,34c,1989,used,34,11.08,,2019-09-19T07:35:36.000Z,fiberglass,diesel,1,0,,,inboard,58500,27000,Annapolis,US,MD,21403
6224913,https://www.boattrader.com/listing/2000-formula-353-fastech-103050482/,power,power-cruiser,Formula,353 FASTech,2000,used,35.25,8.25,8575,2017-05-04T10:07:22.000Z,fiberglass,gasoline,2,820,,,inboard-outboard,49000,27000,Virginia Beach,US,,
5937439,https://www.boattrader.com/listing/2015-dufour-560-grand-large-exclusive-56-103696706/,sail,sail-cruiser,Dufour,560 Grand Large - Exclusive 56,2015,used,56,16.5,,2016-09-13T17:23:30.000Z,fiberglass,diesel,1,150,2015,2015,inboard,575000,27000,Brooklin,US,ME,
7228584,https://www.boattrader.com/listing/1999-little-harbor-44-103690179/,power,power-downeast,Little Harbor,44,1999,used,44,13.58,,2019-09-24T13:18:00.000Z,fiberglass,diesel,2,840,,,inboard,260000,27000,Annapolis,US,MD,21401
7088523,https://www.boattrader.com/listing/1995-doral-350-sc-103584111/,power,power-cruiser,Doral,350 Sc,1995,used,35,12,,2019-05-20T08:47:58.000Z,fiberglass,gasoline,2,620,,,,29900,21450,Grasonville,US,MD,21638
7201119,https://www.boattrader.com/listing/2018-barletta-l-class-l25u-103663697/,power,power-pontoon,Barletta,L-CLASS L25U,2018,used,27.06,8.06,,2019-08-30T17:05:54.000Z,aluminum,gasoline,1,0,,,outboard,64998,47686,Dadeville,US,AL,36853
7264758,https://www.boattrader.com/listing/2019-wellcraft-241-bay-103710973/,power,power-bay,Wellcraft,241 Bay,2019,new,24,8,4400,2019-10-28T09:09:50.000Z,other,gasoline,1,0,,,outboard,89357,10363,Key Largo,US,FL,33037
7233184,https://www.boattrader.com/listing/2004-harris-crowne-dl-270-twin-engine-103687126/,power,power-pontoon,Harris,Crowne DL 270 Twin Engine,2004,used,25,8.06,,2019-09-27T16:41:00.000Z,aluminum,gasoline,1,0,,,outboard,24998,47686,Dadeville,US,AL,36853
